,Hash,W,W Pts,L,L Pts,Line
0,95027075010,95,27,75,10,-13.0
1,63051115023,63,51,115,23,-13.5
2,15034111007,15,34,111,7,-3.0
3,113038002007,113,38,2,7,-24.0
4,116030117026,116,30,117,26,-1.0
5,64039120035,64,39,120,35,-3.5
6,34052090051,34,52,90,51,-10.5
7,97030039013,97,30,39,13,-24.5
8,62026124013,62,26,124,13,-27.5
9,59034030006,59,34,30,6,-31.5
10,107041093023,107,41,93,23,-4.5
11,129045057000,129,45,57,0,-43.0
12,61059018009,61,59,18,9,-31.0
13,80040016020,80,40,16,20,-35.0
14,69040050014,69,40,50,14,-14.5
15,56043031010,56,43,31,10,-21.0
16,68030044027,68,30,44,27,3.0
17,78028102006,78,28,102,6,-28.0
18,121019017016,121,19,17,16,3.0
19,3035122010,3,35,122,10,-22.5
20,109034112031,109,34,112,31,-3.5
21,21042088007,21,42,88,7,-11.0
22,123035049026,123,35,49,26,4.5
23,55052060014,55,52,60,14,-21.0
24,82021065003,82,21,65,3,-13.0
25,81034052000,81,34,52,0,-21.5
26,106022098015,106,22,98,15,9.0
27,104056074007,104,56,74,7,-43.5
28,105052089031,105,52,89,31,-30.0
29,32024108006,32,24,108,6,-22.0
30,7034051014,7,34,51,14,-10.0
31,10031127024,10,31,127,24,-14.0
32,76040041006,76,40,41,6,-17.0
33,86023100017,86,23,100,17,-9.0
34,71037130034,71,37,130,34,-31.0
35,119021073013,119,21,73,13,4.0
36,22038035035,22,38,35,35,3.0
37,54037101027,54,37,101,27,-6.0
38,126038013006,126,38,13,6,-4.5
39,114058072020,114,58,72,20,-21.0
40,77044019030,77,44,19,30,-6.0
41,53049079007,53,49,79,7,-21.0
42,24041025027,24,41,25,27,3.0
43,33041087013,33,41,87,13,-12.5
44,29031030013,29,31,30,13,-21.0
45,14024125010,14,24,125,10,-3.0
46,113038031000,113,38,31,0,-26.0
47,59021032016,59,21,32,16,3.5
48,49041060007,49,41,60,7,-18.0
49,62021096006,62,21,96,6,-23.0
50,82056119035,82,56,119,35,-30.0
51,40022102013,40,22,102,13,-3.5
52,79027076021,79,27,76,21,-4.0
