,W,W Pts,L,L Pts,Hash
0,52,17,125,10,52017125010
1,64,35,13,13,64035013013
2,90,41,127,38,90041127038
3,102,37,120,7,102037120007
4,105,52,95,28,105052095028
5,111,38,110,31,111038110031
6,5,58,115,13,5058115013
7,17,35,26,10,17035026010
8,25,31,24,17,25031024017
9,119,27,40,7,119027040007
10,123,59,15,31,123059015031
11,3,33,128,23,3033128023
12,112,48,109,10,112048109010
13,10,45,7,21,10045007021
14,14,30,57,7,14030057007
15,19,31,77,24,19031077024
16,33,37,82,31,33037082031
17,35,45,22,21,35045022021
18,54,28,129,24,54028129024
19,55,42,60,27,55042060027
20,61,52,4,14,61052004014
21,65,49,98,0,65049098000
22,71,55,30,7,71055030007
23,69,24,36,23,69024036023
24,78,48,89,17,78048089017
25,79,17,48,14,79017048014
26,80,34,70,17,80034070017
27,81,48,50,16,81048050016
28,86,26,113,24,86026113024
29,88,43,124,34,88043124034
30,97,52,34,13,97052034013
31,104,38,76,7,104038076007
32,118,31,73,24,118031073024
33,114,28,121,20,114028121020
34,126,17,39,16,126017039016
35,12,45,93,0,12045093000
36,103,38,117,7,103038117007
37,53,31,59,13,53031059013
38,5,26,119,23,5026119023
39,72,24,127,13,72024127013
40,87,30,14,20,87030014020
41,3,41,30,0,3041030000
42,6,58,73,23,6058073023
43,9,47,16,39,9047016039
44,10,59,92,13,10059092013
45,13,37,25,24,13037025024
46,17,41,104,7,17041104007
47,18,38,88,17,18038088017
48,24,41,57,38,24041057038
49,27,34,109,17,27034109017
50,32,65,28,0,32065028000
51,38,38,110,21,38038110021
52,42,42,123,34,42042123034
53,44,17,11,13,44017011013
54,47,32,45,28,47032045028
55,49,20,79,3,49020079003
56,50,48,51,20,50048051020
57,52,38,41,31,52038041031
58,56,24,96,17,56024096017
59,63,35,67,24,63035067024
60,64,41,120,3,64041120003
61,65,47,112,34,65047112034
62,66,49,108,24,66049108024
63,70,31,102,24,70031102024
64,74,34,37,31,74034037031
65,75,31,91,27,75031091027
66,69,46,83,34,69046083034
67,76,43,93,6,76043093006
68,68,23,77,15,68023077015
69,78,31,61,0,78031061000
70,81,52,111,7,81052111007
71,84,46,62,27,84046062027
72,85,38,39,30,85038039030
73,86,21,2,3,86021002003
74,94,23,48,13,94023048013
75,95,33,29,23,95033029023
76,97,13,99,10,97013099010
77,103,34,8,19,103034008019
78,107,30,118,26,107030118026
79,114,42,58,35,114042058035
80,116,59,34,27,116059034027
81,122,35,80,21,122035080021
82,130,17,1,13,130017001013
83,17,33,40,25,17033040025
84,50,42,76,21,50042076021
85,12,63,16,21,12063016021
86,21,58,108,34,21058108034
87,1,48,37,38,1048037038
88,3,52,98,12,3052098012
89,5,35,72,28,5035072028
90,6,38,24,24,6038024024
91,7,49,107,28,7049107028
92,13,38,26,21,13038026021
93,14,37,97,31,14037097031
94,15,45,43,42,15045043042
95,27,41,46,3,27041046003
96,29,28,122,21,29028122021
97,32,36,49,30,32036049030
98,30,50,111,21,30050111021
99,38,42,36,38,38042036038
100,45,20,44,17,45020044017
101,54,31,52,0,54031052000
102,55,44,79,14,55044079014
103,59,41,8,20,59041008020
104,61,34,60,10,61034060010
105,67,50,123,47,67050123047
106,64,56,51,15,64056051015
107,65,35,94,3,65035094003
108,66,38,113,10,66038113010
109,70,35,106,21,70035106021
110,71,55,34,19,71055034019
111,69,49,96,17,69049096017
112,68,48,115,34,68048115034
113,78,30,88,14,78030088014
114,80,66,48,0,80066048000
115,81,34,103,10,81034103010
116,82,43,119,13,82043119013
117,83,17,28,3,83017028003
118,84,48,130,14,84048130014
119,86,13,90,10,86013090010
120,87,42,31,25,87042031025
121,95,38,35,35,95038035035
122,99,35,9,0,99035009000
123,100,40,18,3,100040018003
124,105,38,89,10,105038089010
125,101,30,63,7,101030063007
126,118,42,74,24,118042074024
127,114,20,104,17,114020104017
128,117,36,125,24,117036125024
