,school,alias
1,Florida State,33
2,Maryland,56
3,Virginia,121
4,North Carolina State,69
5,Clemson,22
6,Georgia Tech,38
7,Wake Forest,125
8,North Carolina,75
9,Duke,27
10,Colorado,24
11,Kansas State,47
12,Iowa State,45
13,Nebraska,71
14,Missouri,66
15,Kansas,46
16,Oklahoma,81
17,Texas,104
18,Oklahoma State,82
19,Texas Tech,107
20,Texas A&M,105
21,Baylor,12
22,Miami (FL),59
23,West Virginia,128
24,Pitt,87
25,Virginia Tech,122
26,Boston College,14
27,Syracuse,100
28,Temple,102
29,Rutgers,90
30,Ohio State,80
31,Iowa,44
32,Michigan,61
33,Penn State,86
34,Purdue,88
35,Illinois,42
36,Minnesota,63
37,Wisconsin,129
38,Michigan State,62
39,Indiana,43
40,Northwestern,77
41,Texas Christian,101
42,Cincinnati,21
43,Louisville,53
44,Southern Mississippi,98
45,Tulane,110
46,UAB,112
47,East Carolina,29
48,Houston,40
49,Memphis,58
50,Army,9
51,South Florida,96
52,Notre Dame,78
53,Connecticut,26
54,Troy,109
55,Utah State,117
56,Navy,70
57,Marshall,55
58,UCF,113
59,Miami (OH),60
60,Ohio,79
61,Akron,2
62,Kent State,48
63,Buffalo,16
64,Northern Illinois,68
65,Toledo,108
66,Bowling Green State,15
67,Ball State,11
68,Western Michigan,124
69,Central Michigan,18
70,Eastern Michigan,28
71,Colorado State,25
72,New Mexico,73
73,Air Force,1
74,San Diego State,91
75,Nevada-Las Vegas,115
76,Utah,116
77,Brigham Young,17
78,Wyoming,130
79,USC,97
80,Washington State,127
81,Arizona State,6
82,Oregon State,85
83,UCLA,114
84,California,19
85,Washington,126
86,Oregon,84
87,Arizona,5
88,Stanford,99
89,Georgia,35
90,Florida,32
91,Tennessee,103
92,Kentucky,49
93,South Carolina,95
94,Vanderbilt,120
95,Alabama,3
96,Arkansas,7
97,Auburn,10
98,LSU,54
99,Ole Miss,64
100,Mississippi State,65
101,North Texas,76
102,New Mexico State,74
103,Arkansas State,8
104,Middle Tennessee State,67
105,Louisiana,51
106,Louisiana-Monroe,52
107,Idaho,41
108,Boise State,13
109,Hawaii,39
110,Fresno State,34
111,Nevada,72
112,San Jose State,92
113,Louisiana Tech,50
114,Rice,89
115,SMU,93
116,UTEP,118
117,Tulsa,111
